,cutoffVal,sgRNAs,proportionVsOne
1,1,30138,1
2,2,29575,0.981319264715641
3,3,29260,0.97086734355299
4,4,29074,0.96469573296171
5,5,28928,0.959851350454576
6,6,28773,0.954708341628509
7,7,28677,0.951522994226558
8,8,28572,0.948039020505674
9,9,28475,0.944820492401619
10,10,28381,0.941701506403876
11,11,28288,0.938615701108235
12,12,28218,0.93629305196098
13,13,28135,0.933539053686376
14,14,28046,0.93058597119915
15,15,27986,0.928595129072931
16,16,27915,0.926239299223572
17,17,27850,0.924082553586834
18,18,27785,0.921925807950096
19,19,27710,0.919437255292322
20,20,27638,0.917048244740859
21,21,27571,0.914825137699914
22,22,27497,0.912369765744243
23,23,27424,0.909947574490676
24,24,27345,0.907326299024487
25,25,27288,0.905434999004579
26,26,27217,0.903079169155219
27,27,27144,0.900656977901652
28,28,27081,0.898566593669122
29,29,27039,0.897173004180769
30,30,26984,0.895348065565067
31,31,26911,0.8929258743115
32,32,26843,0.890669586568452
33,33,26750,0.887583781272812
34,34,26695,0.885758842657111
35,35,26635,0.883768000530891
36,36,26572,0.881677616298361
37,37,26507,0.879520870661623
38,38,26428,0.876899595195434
39,39,26370,0.874975114473422
40,40,26301,0.87268564602827
41,41,26234,0.870462538987325
42,42,26169,0.868305793350587
43,43,26084,0.865485433671777
44,44,26017,0.863262326630831
45,45,25943,0.860806954675161
46,46,25893,0.859147919569978
47,47,25824,0.856858451124826
48,48,25766,0.854933970402814
49,49,25708,0.853009489680802
50,50,25656,0.851284093171412
51,51,25585,0.848928263322052
52,52,25512,0.846506072068485
53,53,25451,0.844482049240162
54,54,25369,0.841761231667662
55,55,25306,0.839670847435132
56,56,25244,0.837613643904705
57,57,25168,0.835091910544827
58,58,25098,0.832769261397571
59,59,25034,0.830645696462937
60,60,24960,0.828190324507267
61,61,24904,0.826332205189462
62,62,24841,0.824241820956931
63,63,24763,0.821653726192846
64,64,24701,0.81959652266242
65,65,24644,0.817705222642511
66,66,24586,0.815780741920499
67,67,24512,0.813325369964828
68,68,24451,0.811301347136505
69,69,24387,0.809177782201871
70,70,24323,0.807054217267237
71,71,24243,0.804399761098945
72,72,24166,0.801844847036963
73,73,24097,0.799555378591811
74,74,24017,0.796900922423519
75,75,23952,0.794744176786781
76,76,23884,0.792487889043732
77,77,23817,0.790264782002787
78,78,23755,0.78820757847236
79,79,23685,0.785884929325105
80,80,23622,0.783794545092574
81,81,23535,0.780907824009556
82,82,23448,0.778021102926538
83,83,23384,0.775897537991904
84,84,23314,0.773574888844648
85,85,23233,0.770887251974252
86,86,23167,0.76869732563541
87,87,23095,0.766308315083947
88,88,23015,0.763653858915655
89,89,22950,0.761497113278917
90,90,22870,0.758842657110624
91,91,22795,0.75635410445285
92,92,22724,0.75399827460349
93,93,22645,0.751376999137302
94,94,22562,0.748623000862698
95,95,22490,0.746233990311235
96,96,22423,0.74401088327029
97,97,22360,0.74192049903776
98,98,22290,0.739597849890504
99,99,22210,0.736943393722211
100,100,22132,0.734355298958126
101,101,22053,0.731734023491937
102,102,21968,0.728913663813126
103,103,21906,0.7268564602827
104,104,21839,0.724633353241755
105,105,21769,0.722310704094499
106,106,21691,0.719722609330413
107,107,21621,0.717399960183157
108,108,21550,0.715044130333798
109,109,21474,0.71252239697392
110,110,21408,0.710332470635079
111,111,21342,0.708142544296237
112,112,21265,0.705587630234256
113,113,21190,0.703099077576481
114,114,21108,0.700378260003982
115,115,21019,0.697425177516756
116,116,20949,0.6951025283695
117,117,20859,0.692116265180171
118,118,20782,0.68956135111819
119,119,20725,0.687670051098281
120,120,20650,0.685181498440507
121,121,20577,0.68275930718694
122,122,20509,0.680503019443891
123,123,20439,0.678180370296635
124,124,20363,0.675658636936758
125,125,20286,0.673103722874776
126,126,20201,0.670283363195965
127,127,20125,0.667761629836087
128,128,20043,0.665040812263587
129,129,19976,0.662817705222642
130,130,19901,0.660329152564868
131,131,19834,0.658106045523923
132,132,19763,0.655750215674564
133,133,19692,0.653394385825204
134,134,19628,0.65127082089057
135,135,19535,0.64818501559493
136,136,19461,0.64572964363926
137,137,19377,0.642942464662552
138,138,19303,0.640487092706882
139,139,19225,0.637898997942796
140,140,19153,0.635509987391333
141,141,19076,0.632955073329352
142,142,18997,0.630333797863163
143,143,18916,0.627646160992767
144,144,18842,0.625190789037096
145,145,18767,0.622702236379322
146,146,18690,0.62014732231734
147,147,18611,0.617526046851151
148,148,18523,0.61460614506603
149,149,18457,0.612416218727188
150,150,18376,0.609728581856792
151,151,18298,0.607140487092707
152,152,18201,0.603921958988652
