,cutoffVal,sgRNAs,proportionVsOne
1,1,61002,1
2,2,60889,0.998147601717976
3,3,60726,0.99547555817842
4,4,60569,0.992901872069768
5,5,60386,0.989901970427199
6,6,60201,0.986869282974329
7,7,59998,0.983541523228747
8,8,59778,0.979935084095603
9,9,59559,0.976345037867611
10,10,59308,0.972230418674798
11,11,59069,0.968312514343792
12,12,58769,0.963394642798597
13,13,58480,0.958657093210059
14,14,58214,0.954296580439986
15,15,57935,0.949722959902954
16,16,57647,0.945001803219567
17,17,57318,0.939608537425002
18,18,56991,0.93424805744074
19,19,56639,0.92847775482771
20,20,56301,0.922936952886791
21,21,55922,0.916724041834694
22,22,55548,0.91059309530835
23,23,55168,0.904363791351103
24,24,54798,0.898298416445362
25,25,54416,0.892036326677814
26,26,53994,0.885118520704239
27,27,53600,0.878659716074883
28,28,53199,0.872086161109472
29,29,52737,0.864512638929871
30,30,52347,0.858119405921117
31,31,51938,0.851414707714501
32,32,51499,0.844218222353365
33,33,51069,0.837169273138586
34,34,50616,0.829743287105341
35,35,50192,0.822792695321465
36,36,49760,0.815710960296384
37,37,49288,0.807973509065277
38,38,48839,0.800613094652634
39,39,48391,0.793269073145143
40,40,47948,0.786007016163405
41,41,47495,0.77858103013016
42,42,47033,0.771007507950559
43,43,46604,0.76397495164093
44,44,46139,0.756352250745877
45,45,45664,0.748565620799318
46,46,45228,0.741418314153634
47,47,44809,0.734549686895512
48,48,44362,0.727222058293171
49,49,43878,0.719287892200256
50,50,43443,0.712156978459723
51,51,42987,0.704681813711026
52,52,42543,0.697403363824137
53,53,42079,0.689797055834235
54,54,41621,0.682289105275237
55,55,41151,0.674584439854431
56,56,40676,0.666797809907872
57,57,40249,0.659798039408544
58,58,39778,0.652076981082587
59,59,39361,0.645241139634766
60,60,38911,0.637864332316973
61,61,38490,0.630962919248549
62,62,38072,0.624110684895577
63,63,37609,0.616520769810826
64,64,37175,0.609406248975443
65,65,36724,0.6020130487525
66,66,36291,0.594914920822268
67,67,35891,0.588357758762008
68,68,35491,0.581800596701747
69,69,35103,0.575440149503295
70,70,34722,0.569194452640897
71,71,34328,0.562735648011541
72,72,33958,0.5566702731058
73,73,33567,0.550260647191895
74,74,33196,0.544178879381004
75,75,32860,0.538670863250385
76,76,32485,0.532523523818891
77,77,32102,0.526245041146192
78,78,31756,0.520573095964067
79,79,31387,0.514524113963477
80,80,31030,0.508671846824694
81,81,30650,0.502442542867447
82,82,30307,0.496819776400774
83,83,29944,0.490869151831087
84,84,29590,0.485066063407757
85,85,29230,0.479164617553523
86,86,28908,0.473886102095013
87,87,28548,0.467984656240779
88,88,28227,0.46272253368742
89,89,27927,0.457804662142225
90,90,27601,0.452460575063113
91,91,27303,0.447575489328219
92,92,26988,0.442411724205764
93,93,26680,0.437362709419363
94,94,26406,0.432871053408085
95,95,26084,0.427592537949575
96,96,25785,0.422691059309531
97,97,25476,0.41762565161798
98,98,25222,0.413461853709714
99,99,24929,0.408658732500574
100,100,24662,0.40428182682535
101,101,24400,0.39998688567588
102,102,24093,0.39495426379463
103,103,23832,0.39067571555031
104,104,23562,0.386249631159634
105,105,23276,0.381561260286548
106,106,23015,0.377282712042228
107,107,22762,0.373135307039113
108,108,22493,0.368725615553588
109,109,22238,0.364545424740172
110,110,21964,0.360053768728894
111,111,21726,0.356152257303039
112,112,21494,0.352349103308088
113,113,21253,0.348398413166781
114,114,21001,0.344267401068817
115,115,20753,0.340201960591456
116,116,20510,0.336218484639848
117,117,20253,0.332005508016131
118,118,20021,0.32820235402118
119,119,19773,0.324136913543818
120,120,19556,0.320579653126127
121,121,19322,0.316743713320875
122,122,19090,0.312940559325924
123,123,18850,0.309006262089768
124,124,18624,0.30530146552572
125,125,18417,0.301908134159536
126,126,18208,0.29848201698305
127,127,18002,0.295105078522016
128,128,17797,0.291744532966132
129,129,17602,0.288547916461755
130,130,17406,0.285334907052228
131,131,17225,0.28236779121996
132,132,17024,0.279072817284679
133,133,16846,0.276154880167863
134,134,16647,0.272892692042884
135,135,16454,0.269728861348808
136,136,16270,0.266712566801089
137,137,16074,0.263499557391561
138,138,15904,0.26071276351595
139,139,15724,0.257762040588833
140,140,15551,0.254926067997771
141,141,15385,0.252204845742763
142,142,15206,0.249270515720796
143,143,15049,0.246696829612144
144,144,14876,0.243860857021081
145,145,14710,0.241139634766073
146,146,14547,0.238467591226517
147,147,14369,0.235549654109701
148,148,14202,0.232812038949543
149,149,14046,0.230254745746041
150,150,13866,0.227304022818924
151,151,13721,0.22492705157208
152,152,13557,0.222238615127373
153,153,13415,0.21991082259598
154,154,13260,0.21736992229763
155,155,13103,0.214796236188977
156,156,12949,0.212271728795777
157,157,12798,0.209796400118029
158,158,12636,0.207140749483623
159,159,12481,0.204599849185273
160,160,12335,0.202206485033278
161,161,12191,0.199845906691584
162,162,12048,0.197501721255041
163,163,11898,0.195042785482443
164,164,11759,0.192764171666503
165,165,11611,0.190338021704206
166,166,11478,0.18815776531917
167,167,11332,0.185764401167175
168,168,11221,0.183944788695453
169,169,11100,0.181961247172224
170,170,10984,0.180059670174748
171,171,10869,0.178174486082424
172,172,10757,0.176338480705551
173,173,10622,0.174125438510213
174,174,10513,0.172338611848792
175,175,10405,0.170568178092522
176,176,10281,0.168535457853841
177,177,10164,0.166617487951215
178,178,10046,0.164683125143438
179,179,9935,0.162863512671716
180,180,9812,0.160847185338186
181,181,9700,0.159011179961313
182,182,9595,0.157289924920494
183,183,9476,0.155339169207567
184,184,9360,0.153437592210091
185,185,9252,0.151667158453821
186,186,9131,0.149683616930592
187,187,9021,0.147880397364021
188,188,8925,0.146306678469558
189,189,8824,0.144650995049343
190,190,8734,0.143175633585784
191,191,8638,0.141601914691322
192,192,8534,0.139897052555654
193,193,8448,0.138487262712698
194,194,8348,0.136847972197633
195,195,8248,0.135208681682568
196,196,8152,0.133634962788105
197,197,8050,0.131962886462739
198,198,7958,0.130454739188879
199,199,7877,0.129126913871676
200,200,7773,0.127422051736009
201,201,7697,0.126176190944559
202,202,7619,0.124897544342808
203,203,7535,0.123520540310154
204,204,7444,0.122028785941445
205,205,7360,0.12065178190879
206,206,7291,0.119520671453395
207,207,7206,0.11812727451559
208,208,7120,0.116717484672634
209,209,7050,0.115569981312088
210,210,6966,0.114192977279433
211,211,6891,0.112963509393135
212,212,6810,0.111635684075932
213,213,6726,0.110258680043277
214,214,6655,0.109094783777581
215,215,6573,0.107750565555228
216,216,6508,0.106685026720435
217,217,6411,0.105094914920822
218,218,6341,0.103947411560277
219,219,6274,0.102849086915183
220,220,6213,0.101849119700993
221,221,6129,0.100472115668339
222,222,6051,0.099193469066588
223,223,5984,0.0980951444214944
224,224,5913,0.0969312481557982
225,225,5847,0.0958493164158552
226,226,5770,0.0945870627192551
227,227,5709,0.0935870955050654
228,228,5653,0.092669092816629
229,229,5579,0.0914560178354808
230,230,5510,0.0903249073800859
231,231,5457,0.0894560834071014
232,232,5394,0.0884233303826104
233,233,5343,0.0875872922199272
234,234,5295,0.086800432772696
235,235,5227,0.0856857152224517
236,236,5161,0.0846037834825088
237,237,5108,0.0837349595095243
238,238,5059,0.0829317071571424
239,239,4998,0.0819317399429527
240,240,4939,0.0809645585390643
241,241,4871,0.07984984098882
242,242,4808,0.078817087964329
243,243,4739,0.0776859775089341
244,244,4689,0.0768663322514016
245,245,4642,0.076095865709321
246,246,4593,0.0752926133569391
247,247,4540,0.0744237893839546
248,248,4489,0.0735877512212714
249,249,4452,0.0729812137306974
250,250,4408,0.0722599259040687
