,cutoffVal,sgRNAs,proportionVsOne
1,1,64021,1
2,2,63946,0.998828509395355
3,3,63820,0.99686040517955
4,4,63677,0.99462676309336
5,5,63516,0.992111963262055
6,6,63328,0.989175426813077
7,7,63144,0.986301369863014
8,8,62981,0.983755330282251
9,9,62833,0.981443588822418
10,10,62671,0.978913169116384
11,11,62513,0.976445228909264
12,12,62373,0.97425844644726
13,13,62222,0.97189984536324
14,14,62074,0.969588103903407
15,15,61938,0.967463800940316
16,16,61780,0.964995860733197
17,17,61638,0.962777838521735
18,18,61507,0.960731634932288
19,19,61377,0.958701051217569
20,20,61226,0.95634245013355
21,21,61069,0.953890129801159
22,22,60945,0.951953265334812
23,23,60813,0.949891441870636
24,24,60659,0.947485981162431
25,25,60509,0.94514299995314
26,26,60348,0.942628200121835
27,27,60172,0.939879102169601
28,28,60025,0.937582980584496
29,29,59869,0.935146280126833
30,30,59692,0.93238156229987
31,31,59489,0.929210727729964
32,32,59305,0.9263366707799
33,33,59138,0.923728151700223
34,34,58960,0.920947813998532
35,35,58748,0.917636400556068
36,36,58562,0.914731103856547
37,37,58344,0.911325971165711
38,38,58150,0.908295715468362
39,39,57929,0.90484372315334
40,40,57726,0.901672888583434
41,41,57514,0.898361475140969
42,42,57309,0.895159400821605
43,43,57089,0.891723028381312
44,44,56862,0.888177316817919
45,45,56647,0.884819043751269
46,46,56416,0.881210852688961
47,47,56175,0.877446462879368
48,48,55937,0.87372893269396
49,49,55715,0.87026132050421
50,50,55469,0.866418831320973
51,51,55221,0.862545102388279
52,52,54975,0.858702613205042
53,53,54710,0.854563346401962
54,54,54459,0.850642757845082
55,55,54233,0.847112666156417
56,56,53985,0.843238937223723
57,57,53714,0.839005951172272
58,58,53438,0.834694865747177
59,59,53153,0.830243201449524
60,60,52879,0.825963355773887
61,61,52608,0.821730369722435
62,62,52334,0.817450524046797
63,63,52046,0.812952000124959
64,64,51780,0.80879711344715
65,65,51460,0.803798753533997
66,66,51166,0.799206510363787
67,67,50897,0.795004764061792
68,68,50587,0.790162602895925
69,69,50318,0.78596085659393
70,70,50069,0.782071507786508
71,71,49770,0.777401165242655
72,72,49471,0.772730822698802
73,73,49200,0.76849783664735
74,74,48912,0.763999312725512
75,75,48639,0.759735086924603
76,76,48365,0.755455241248965
77,77,48065,0.750769278830384
78,78,47789,0.746458193405289
79,79,47482,0.741662891863607
80,80,47192,0.737133128192312
81,81,46895,0.732494025397916
82,82,46611,0.728057980974993
83,83,46316,0.723450117930054
84,84,46027,0.718935974133487
85,85,45734,0.714359350838006
86,86,45451,0.709938926289811
87,87,45160,0.705393542743787
88,88,44878,0.700988738070321
89,89,44616,0.696896330891426
90,90,44328,0.692397806969588
91,91,44063,0.688258540166508
92,92,43770,0.683681916871027
93,93,43482,0.679183392949189
94,94,43204,0.674841067774636
95,95,42915,0.67032692397807
96,96,42630,0.665875259680417
97,97,42346,0.661439215257494
98,98,42054,0.656878211836741
99,99,41781,0.652613986035832
100,100,41520,0.648537198731666
101,101,41244,0.644226113306571
102,102,40970,0.639946267630934
103,103,40697,0.635682041830025
104,104,40417,0.631308476906015
105,105,40144,0.627044251105106
106,106,39857,0.622561347057997
107,107,39553,0.617812905140501
108,108,39286,0.613642398587963
109,109,39042,0.609831149154184
110,110,38783,0.605785601599475
111,111,38519,0.601661954671123
112,112,38277,0.597881944986801
113,113,38000,0.593555239686978
114,114,37775,0.590040767873042
115,115,37518,0.58602646006779
116,116,37228,0.581496696396495
117,117,36985,0.577701066837444
118,118,36734,0.573780478280564
119,119,36464,0.569563112103841
120,120,36202,0.565470704924947
121,121,35919,0.561050280376751
122,122,35662,0.5570359725715
123,123,35408,0.553068524390434
124,124,35154,0.549101076209369
125,125,34895,0.54505552865466
126,126,34628,0.540885022102123
127,127,34377,0.536964433545243
128,128,34159,0.533559300854407
129,129,33913,0.52971681167117
130,130,33680,0.526077380859405
131,131,33417,0.521969353805782
132,132,33157,0.517908186376345
133,133,32920,0.514206276065666
134,134,32682,0.510488745880258
135,135,32458,0.506989893941051
136,136,32230,0.503428562502929
137,137,31990,0.499679792568064
138,138,31782,0.496430858624514
139,139,31556,0.492900766935849
140,140,31309,0.489042657877884
141,141,31079,0.485450086690305
142,142,30862,0.482060573874198
143,143,30633,0.478483622561347
144,144,30429,0.475297168116712
145,145,30245,0.472423111166648
146,146,30030,0.469064838099998
147,147,29816,0.465722184908077
148,148,29602,0.462379531716156
149,149,29413,0.459427375392449
150,150,29235,0.456647037690758
151,151,29029,0.453429343496665
152,152,28806,0.449946111432186
153,153,28606,0.446822136486465
154,154,28405,0.443682541666016
155,155,28203,0.440527326970838
156,156,28010,0.437512691148217
157,157,27816,0.434482435450868
158,158,27620,0.431420940004061
159,159,27420,0.42829696505834
160,160,27224,0.425235469611534
161,161,27036,0.422298933162556
162,162,26840,0.41923743771575
163,163,26657,0.416379000640415
164,164,26445,0.413067587197951
165,165,26247,0.409974852001687
166,166,26058,0.407022695677981
167,167,25855,0.403851861108074
168,168,25694,0.401337061276769
169,169,25498,0.398275565829962
170,170,25290,0.395026631886412
171,171,25139,0.392668030802393
172,172,24967,0.389981412349073
173,173,24787,0.387169834897924
174,174,24618,0.38453007606879
175,175,24461,0.382077755736399
176,176,24285,0.379328657784165
177,177,24102,0.37647022070883
178,178,23916,0.373564924009309
179,179,23752,0.371003264553818
180,180,23580,0.368316646100498
181,181,23405,0.365583168022992
182,182,23262,0.363349525936802
183,183,23103,0.360865965854954
184,184,22969,0.358772902641321
185,185,22800,0.356133143812187
186,186,22620,0.353321566361038
187,187,22475,0.35105668452539
188,188,22333,0.348838662313928
189,189,22173,0.346339482357352
190,190,22013,0.343840302400775
191,191,21874,0.341669139813499
192,192,21716,0.339201199606379
193,193,21589,0.337217475515846
194,194,21440,0.334890114181284
195,195,21283,0.332437793848893
196,196,21159,0.330500929382546
197,197,21022,0.328361006544727
198,198,20874,0.326049265084894
199,199,20748,0.32408116086909
200,200,20598,0.321738179659799
201,201,20428,0.319082800955936
202,202,20289,0.31691163836866
203,203,20167,0.31500601365177
204,204,20019,0.312694272191937
205,205,19879,0.310507489729932
206,206,19750,0.308492525889942
207,207,19626,0.306555661423595
208,208,19487,0.304384498836319
209,209,19340,0.302088377251214
210,210,19192,0.299776635791381
211,211,19071,0.29788663094922
212,212,18941,0.295856047234501
213,213,18803,0.293700504521954
214,214,18665,0.291544961809406
215,215,18534,0.289498758219959
216,216,18402,0.287436934755783
217,217,18264,0.285281392043236
218,218,18136,0.283282048077974
219,219,18023,0.281517002233642
220,220,17897,0.279548898017838
221,221,17764,0.277471454678933
222,222,17634,0.275440870964215
223,223,17529,0.273800784117711
224,224,17408,0.27191077927555
225,225,17286,0.27000515455866
