,Cutoff,Epoch,mean_spearman
1,1,43,0
2,2,43,-0.00312079820600109
3,3,50,0.00221172693655569
4,4,38,0.00279371828026798
5,5,50,0.00354906905172137
6,6,44,0.00465060478406631
7,7,47,0.00677481584663986
8,8,57,0.00675934284075042
9,9,44,0.00705030945640095
10,10,45,0.00647837830754727
11,11,51,0.0104026663226016
12,12,52,0.0127047955476661
13,13,44,0.010492291472561
14,14,60,0.0162227265126546
15,15,58,0.0121394755074552
16,16,55,0.014664402084676
17,17,61,0.0135877166773648
18,18,46,0.0146747625270127
19,19,40,0.0156494585214143
20,20,49,0.0149399608167454
21,21,59,0.0176291053756964
22,22,52,0.0192338262544192
23,23,49,0.0171853678610635
24,24,53,0.0157892781487743
25,25,56,0.0183189712234353
26,26,52,0.0182093228834064
27,27,53,0.0181012759625158
28,28,43,0.0166271256039583
29,29,44,0.0171020521284846
30,30,55,0.0185962116190536
31,31,53,0.0204853047611404
32,32,51,0.0235087782306577
33,33,55,0.0206818545250768
34,34,47,0.0209937427431008
35,35,46,0.0194491527039609
36,36,58,0.0209126378696346
37,37,48,0.0191492085857052
38,38,47,0.0168454350015673
39,39,49,0.0213883756836563
40,40,57,0.0222482439108248
41,41,45,0.0193935522366633
42,42,59,0.0234297428031873
43,43,40,0.0181004704222375
44,44,46,0.0247988747217588
45,45,55,0.0232558713414284
46,46,45,0.0250912902793837
47,47,53,0.019348415960656
48,48,46,0.0230278488406719
49,49,48,0.0186591568089723
50,50,46,0.0234276240180613
51,51,57,0.024092180226023
52,52,60,0.0219047710005448
53,53,47,0.0228208723657882
54,54,60,0.0232101438858578
55,55,47,0.0242614253821097
56,56,50,0.0238514333305011
57,57,52,0.024666785939622
58,58,50,0.020678421236446
59,59,50,0.0236767459073289
60,60,62,0.0221574818769776
61,61,47,0.0230337068605964
62,62,53,0.0237379804734824
63,63,60,0.0262741054216807
64,64,63,0.0256770199462739
65,65,56,0.0211570138987487
66,66,60,0.0249673052738461
67,67,54,0.023612111109127
68,68,51,0.0231641126607794
69,69,62,0.0243786588228572
70,70,67,0.024687824307783
71,71,53,0.0236422382872881
72,72,59,0.0258317916783654
73,73,56,0.029600649660242
74,74,59,0.0212038056311594
75,75,52,0.0291232006386328
76,76,63,0.0243005570325775
77,77,54,0.0198875360538171
78,78,65,0.0271315065871335
79,79,61,0.0271468097194356
80,80,48,0.0207742748400035
81,81,60,0.0246812397996681
82,82,67,0.0245086931340066
83,83,53,0.0222252437959141
84,84,71,0.0227841814854035
85,85,53,0.0256493064660513
86,86,61,0.0204433893508044
87,87,51,0.0231213536695413
88,88,63,0.0248335898492059
89,89,59,0.0237429582998816
90,90,63,0.027415560397744
91,91,64,0.0210803126112156
92,92,57,0.0240153454361793
93,93,51,0.022878212324723
94,94,58,0.0210195224509706
95,95,61,0.0228987919332841
96,96,62,0.0196223832206646
97,97,65,0.0181357589644238
98,98,63,0.0197510974242981
99,99,62,0.019641318591759
100,100,58,0.0191704935638706
